ArtigoID;status;reasons;quotes_total;quotes_placeholder;quotes_page_nr;page_nr_ratio;quotes_matched;quotes_match_rate;nr_critical_ratio;worst_quotes;has_texts_json;threshold;yaml_path
ART_015;OK;;8;0;0;0.0;8;1.0;0.08;q2:99%, q1:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_015.yaml
ART_016;OK;;8;0;0;0.0;8;1.0;0.15;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_016.yaml
ART_017;OK;;8;0;0;0.0;8;1.0;0.08;q4:98%, q8:99%, q1:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_017.yaml
ART_018;OK;;8;0;0;0.0;8;1.0;0.15;q3:99%, q4:99%, q5:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_018.yaml
ART_019;OK;;8;0;0;0.0;8;1.0;0.0;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_019.yaml
ART_020;OK;;8;0;0;0.0;8;1.0;0.0;q3:98%, q8:99%, q2:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_020.yaml
ART_021;OK;;8;0;0;0.0;8;1.0;0.0;q5:99%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_021.yaml
ART_022;OK;;8;0;0;0.0;8;1.0;0.0;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_022.yaml
ART_023;OK;;8;0;0;0.0;8;1.0;0.08;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_023.yaml
ART_024;OK;;8;0;0;0.0;8;1.0;0.0;q2:99%, q1:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_024.yaml
ART_025;OK;;8;0;0;0.0;8;1.0;0.0;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_025.yaml
ART_026;OK;;8;0;0;0.0;8;1.0;0.0;q1:100%, q2:100%, q3:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_026.yaml
ART_027;OK;;8;0;0;0.0;8;1.0;0.15;q2:98%, q6:99%, q1:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_027.yaml
ART_028;OK;;8;0;0;0.0;8;1.0;0.0;q7:99%, q1:100%, q2:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_028.yaml
ART_029;OK;;8;0;0;0.0;8;1.0;0.0;q2:99%, q4:99%, q1:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_029.yaml
ART_030;OK;;8;0;0;0.0;8;1.0;0.0;q2:98%, q6:99%, q4:99%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_030.yaml
ART_031;OK;;8;0;0;0.0;8;1.0;0.0;q2:99%, q6:99%, q4:100%;True;80;C:\Users\Leonardo\Documents\Computing\Projeto_Mestrado\files\files\articles\00 Dados RSL\Extraction\outputs\yamls\ART_031.yaml
